time,nb_dead_node,nb_package
1,0,300
101,0,300
201,0,300
301,0,300
401,0,300
501,0,300
601,0,300
701,0,300
801,0,300
901,0,300
1001,0,300
1101,0,300
1201,0,300
1301,0,300
1401,0,300
1501,0,300
1601,0,300
1701,0,300
1801,0,300
1901,0,300
2001,0,300
2101,0,300
2201,0,300
2246,1,300
2301,1,300
2401,1,300
2501,1,300
2601,1,300
2701,1,300
2801,1,300
2901,1,300
2977,2,299
3001,2,299
3101,2,299
3201,2,299
3301,2,299
3401,2,299
3501,2,299
3601,2,299
3701,2,299
3801,2,299
3901,2,299
4001,2,299
4006,3,267
4023,4,267
4101,4,267
